2026-06-28 11:56:43 - microclimate - DEBUG - I'm the root logger
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-06-28 11:56:45 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\david\\anaconda3\\envs\\CFD\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
